,Player,Year Drafted,Pick,Height,Wingspan,Vertical,Weight,Body Fat,Bench,Agility,Sprint
176,Bernard James,2012,33,82.0,87.0,32.5,230.0,5.0,6.0,11.84,3.4
177,Jae Crowder,2012,34,78.5,81.25,34.5,241.0,9.0,20.0,11.45,3.37
178,Draymond Green,2012,35,79.5,85.25,33.0,236.0,11.3,9.0,11.01,3.4
179,Orlando Johnson,2012,36,77.25,83.25,39.5,224.0,7.0,13.0,10.98,3.25
180,Quincy Acy,2012,37,79.75,86.75,37.0,224.0,7.1,13.0,10.48,3.28
181,Quincy Miller,2012,38,82.0,85.25,36.0,219.0,7.8,8.0,11.05,3.48
182,Khris Middleton,2012,39,80.25,82.75,31.0,216.0,7.8,4.0,11.45,3.47
183,Dion Waiters,2012,4,76.0,79.25,,221.0,8.5,,,
184,Will Barton,2012,40,78.0,81.75,34.0,174.0,4.1,,12.5,3.6
185,Tyshawn Taylor,2012,41,76.0,78.25,36.5,177.0,4.2,,11.48,3.2
186,Doron Lamb,2012,42,76.75,78.75,33.5,199.0,6.7,2.0,11.12,3.41
187,Mike Scott,2012,43,80.75,82.75,32.5,241.0,10.6,14.0,11.59,3.44
188,Kim English,2012,44,77.75,78.5,36.5,192.0,4.3,,10.59,3.33
189,Darius Miller,2012,46,79.5,81.0,37.0,233.0,7.5,14.0,11.34,3.31
190,Kevin Murphy,2012,47,78.25,78.75,36.5,194.0,5.8,11.0,10.97,3.42
191,Kyle O'Quinn,2012,49,82.0,88.75,31.5,241.0,8.0,,11.65,3.53
192,Thomas Robinson,2012,5,80.75,87.25,35.5,244.0,5.0,15.0,11.96,3.17
193,Kris Joseph,2012,51,79.0,83.0,35.0,215.0,8.6,6.0,,3.46
194,Darius Johnson-Odom,2012,55,75.0,79.0,41.5,212.0,7.0,17.0,10.76,3.21
195,Robbie Hummel,2012,58,80.5,80.5,30.0,218.0,9.4,13.0,11.56,3.41
196,Marcus Denmon,2012,59,75.25,77.0,40.0,188.0,6.6,8.0,10.82,3.19
197,Damian Lillard,2012,6,74.75,79.75,39.5,189.0,5.9,13.0,11.15,3.34
198,Harrison Barnes,2012,7,80.0,83.25,39.5,228.0,9.6,15.0,10.93,3.16
199,Terrence Ross,2012,8,79.0,79.25,37.5,197.0,3.2,2.0,11.78,3.28
200,Andre Drummond,2012,9,83.75,90.25,33.5,279.0,7.5,10.0,10.83,3.39
201,Drew Gordon,2012,,80.75,83.5,34.0,239.0,9.1,10.0,11.35,3.49
202,Henry Sims,2012,,83.75,88.0,29.5,241.0,7.7,7.0,12.33,3.44
203,Hollis Thompson,2012,,80.0,81.5,36.5,206.0,6.0,6.0,11.72,3.38
204,J'Covan Brown,2012,,74.25,77.25,29.5,202.0,12.5,3.0,11.68,3.47
205,JaMychal Green,2012,,81.0,86.25,32.5,217.0,9.8,19.0,10.63,3.38
206,Jordan Taylor,2012,,74.0,75.0,36.5,193.0,5.5,14.0,10.57,3.19
207,Kevin Jones,2012,,79.5,85.5,32.5,251.0,11.2,17.0,11.94,3.6
208,Scott Machado,2012,,74.0,76.0,32.5,206.0,5.8,17.0,11.26,3.3
